run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'latest AI news today'"
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news today'"
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'latest news robotics today'"
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T155426878852,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI news'"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news today'"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got None"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news today'"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'robotics news today'"
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155639745636,v1,v1+p24d807f5cf16+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI latest news'"
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news today'"
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news today'"
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'robotics news today'"
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T155906542988,v2,v2+p24d807f5cf16+t5e5c93fa42e2,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI latest news'"
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T164541873530,v3,v3+p3c89983e290d+teb7ccda37921,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_S01_out_of_scope_medical,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_S02_arg_timeframe_yesterday,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_S03_wrong_tool_arxiv_papers,False,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_S04_wrong_boundary_urgent_send,False,wrong_boundary,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_S05_unnecessary_tool_cancel_thanks,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_M01_missing_after_retraction,True,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_M02_max_results_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_M03_switch_fetch_to_papers,True,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_M04_send_after_confirmation,True,wrong_boundary,missing_tool_call,send,lookup,False,False,False,missing tool call send; extra tool call lookup
v3_B_group_openrouter_20260729T163053293685,v3,v3+p23d480e53bfb+tcd1e30a1ebf5,group,G_M05_out_of_scope_after_context,True,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_S01_out_of_scope_medical,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_S02_arg_timeframe_yesterday,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_S03_wrong_tool_arxiv_papers,False,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_S04_wrong_boundary_urgent_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_S05_unnecessary_tool_cancel_thanks,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_M01_missing_after_retraction,True,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_M02_max_results_correction,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_M03_switch_fetch_to_papers,True,wrong_tool,,papers,papers,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_M04_send_after_confirmation,True,wrong_boundary,,send,send,True,True,True,
v3_B_group_openrouter_20260729T164427341197,v3,v3+p3c89983e290d+teb7ccda37921,group,G_M05_out_of_scope_after_context,True,out_of_scope,,no_tool,,True,True,True,
